Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type	Standard Text Value	Value
CHEMBL5084656		None	542.63	2	5.07	Fc1c(-c2cccc3cccc(F)c23)ncc2c(N3C[C@H]4CC[C@@H](C3)N4)nc(OCC34CCCN3CCC4)nc12	IC50	='	380	nM	6.42			UO_0000065	11.83	0.22	1.35	9.67	0	CHEMBL5047300	Inhibition of KRAS G12D mutant in human AGS cells assessed as reduction in ERK phosphorylation measured after 3 hrs by In-Cell Western assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	AGS	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5046237	1	Scientific Literature	J Med Chem	2022	None	TIME = 3.0 hr	INHIBITOR		0.38
CHEMBL5276699		None	632.69	2	5.21	CCc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CCCC6(CC(=O)N6)C5)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12	IC50	='	2	nM	8.7			UO_0000065	13.75	0.26	3.49	8.39	0	CHEMBL5256826	Inhibition of N-terminal His-tagged GDP-bound KRAS G12D mutant (1 to 169 residues) (unknown origin) assessed as inhibition of SOS mediated nucleotide exchange preincubated for 2 hrs followed by addition of SOS protein and unlabeled GTP measured after 30 mins by Alphascreen assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5252668	1	Scientific Literature	ACS Med Chem Lett	2023	None	TIME = 2.5 hr	INHIBITOR		0.002
CHEMBL4876274		None	684.6	1	4.65	Oc1cc(N2CCc3c(nc(OCC4(CN5CC[C@@H](F)C5)CC4)nc3N3CC4CCC(C3)N4)C2)c2c(I)cccc2c1	IC50	='	0.9	nM	9.05			UO_0000065	13.21	0.29	4.4	11.75	0	CHEMBL4837101	Inhibition of recombinant his-tagged KRAS G12D mutant (unknown origin) expressed in Escherichia coli BL21(DE3) assessed as inhibition of GDP-GTP exchange rate in presence of recombinant SOS1/GMPPNP incubated for 1 hr by BODIPY fluorescence assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4834492	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.9
CHEMBL4859236		None	575.09	2	5.29	Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)cccc2c1	IC50	='	0.4	nM	9.4			UO_0000065	16.34	0.31	4.11	10.85	0	CHEMBL4845550	Displacement of Cy5-labelled tracer from biotinylated GDP-loaded human recombinant KRAS G12D mutant (1 to 169 residues) measured after 60 mins by TR-FRET assay	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4842393	1	Scientific Literature	ACS Med Chem Lett	2021	None	TIME = 1.0 hr	INHIBITOR		0.4
CHEMBL4796065		None	321.38	0	2.77	CN(C)Cc1[nH]c2ccccc2c1[C@H]1NC(=O)c2ccc(O)cc21	IC50	='	33000	nM	4.48			UO_0000065	13.94	0.26	1.71	6.56	0	CHEMBL4677891	Inhibition of C-terminal Avi-tagged biotinylated KRas G12D mutant (1 to 169 residues) (unknown origin) expressed in Escherichia coli assessed as reduction in KRas G12D mutant-SOS1 (564 to 1049 residues) protein-protein interaction incubated for 60 mins by TR-FRET LANCE assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4673313	1	Scientific Literature	J Med Chem	2020	None	TIME = 1.0 hr	INHIBITOR		33
CHEMBL4070657		None	2533.01	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	35.8	nM	7.45			UO_0000065	2.94	None	None	None	0	CHEMBL4021571	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr in presence of DTT by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				35.8
CHEMBL5185010		None	2143.58	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@H](c3ccccc3)CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC1=O	IC50	='	3800	nM	5.42			UO_0000065	2.53	None	None	None	0	CHEMBL5136565	Inhibition of KRAS in human ASPC1 cells harboring KRAS G12D mutant assessed as inhibition of ERK phosphorylation incubated for 2 hrs by AlphaScreen-based LDH membrane integrity assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 2.0 hr	INHIBITOR		3.8
CHEMBL5189659		None	1936.31	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	54	nM	7.27			UO_0000065	3.75	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		54
CHEMBL5195518		None	1996.4	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(c2ccccc2)c2ccccc2)NC(=O)[C@H](CO)NC1=O	IC50	='	251	nM	6.6			UO_0000065	3.31	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		251
CHEMBL5203513		None	2064.48	None	None	C=CCO[C@H]1CCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc3ccc(-c4ccccc4)cc3)NC(=O)[C@H](CC3CCC3)NC(=O)[C@H]12	IC50	='	2	nM	8.7			UO_0000065	4.21	None	None	None	0	CHEMBL5136563	Inhibition of recombinant biotinylated KRAS G12D mutant (unknown origin) assessed as inhibition of SOS-catalyzed nucleotide exchange preincubated for 60 mins followed by addition of human SOS protein and unlabeled GTP and measured after 60 mins by TR-FRET analysis	B	BAO_0000357	single protein format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 1.0 hr	INHIBITOR		2
CHEMBL4083770		None	2535.02	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	7.4	nM	8.13			UO_0000065	3.21	None	None	None	0	CHEMBL4021571	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr in presence of DTT by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				7.4
CHEMBL5175141		None	2184.59	None	None	CC(=O)N[C@@H](CCCCN=[N+]=[N-])C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(-c3ccccc3)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2[C@@H](c3ccccc3)CCN2C1=O	IC50	='	6800	nM	5.17			UO_0000065	2.37	None	None	None	0	CHEMBL5136566	Inhibition of KRAS in human ASPC1 cells harboring KRAS G12D mutant assessed as inhibition of ERK phosphorylation incubated for 18 hrs by AlphaScreen-based LDH membrane integrity assay	B	BAO_0000219	cell-based format	Homo sapiens	None	None	ASPC1	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL5131563	1	Scientific Literature	J Med Chem	2022	None	TIME = 18.0 hr	INHIBITOR		6.8
CHEMBL4075048		None	2535.02	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	19	nM	7.72			UO_0000065	3.05	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				19
CHEMBL4099289		None	2603.14	None	None	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(C)=O)CSCCCSC[C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CO)NC1=O	IC50	='	83	nM	7.08			UO_0000065	2.72	None	None	None	0	CHEMBL4021570	Inhibition of biotinylated K-Ras G12D mutant (unknown origin) assessed as reduction in SOS1 (564 to 1049 residues)-mediated BODIPY-GDP-GTP exchange after 1 hr by TR-FRET assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4020739	1	Scientific Literature	Bioorg Med Chem Lett	2017	None				83
CHEMBL4788500		None	512.61	2	6	O=C1N[C@H](c2c(CNCc3ccc4ccn(Cc5ccccc5)c4c3)[nH]c3ccccc23)c2cc(O)ccc21	IC50	='	870	nM	6.06			UO_0000065	11.82	0.21	0.06	7.38	0	CHEMBL4677891	Inhibition of C-terminal Avi-tagged biotinylated KRas G12D mutant (1 to 169 residues) (unknown origin) expressed in Escherichia coli assessed as reduction in KRas G12D mutant-SOS1 (564 to 1049 residues) protein-protein interaction incubated for 60 mins by TR-FRET LANCE assay	B	BAO_0000019	assay format	Homo sapiens	None	None	None	None		P01116	G12D	CHEMBL2189121	GTPase KRas	Homo sapiens	SINGLE PROTEIN	CHEMBL4673313	1	Scientific Literature	J Med Chem	2020	None	TIME = 1.0 hr	INHIBITOR		0.87
